"poly_id","operacion","tipo","latitud","longitud","m2total","preciousd","barrio","comuna","lnprecio","lnm2total","residuos","dist_subte","dist_tren","dist_obe","count_delitos","Residuos_Ej_4"
1880,"VTA","TERRENO",-34.6433048,-58.4160802,36,69000,"NUEVA POMPEYA",4,11.1418617835794,3.58351893845611,-0.231741123496226,407.155030709942,641.100303929785,5428.85174521364,402,-0.392183103925659
1881,"VTA","TERRENO",-34.5992597,-58.4160756,407,1320000,"ALMAGRO",5,14.0931422945626,6.00881318544259,0.326657654034754,623.393971142425,1233.76868928312,3199.49011492621,1193,0.244952005974428
1882,"VTA","TERRENO",-34.6015897,-58.4160712,455,700000,"ALMAGRO",5,13.4588356140255,6.12029741895095,-0.373102422379103,481.491956032692,1024.67899810973,3171.03987088975,1762,-0.655262246869504
1883,"VTA","TERRENO",-34.6138312,-58.4159931,213,580000,"ALMAGRO",5,13.2707833825226,5.36129216570943,-0.11553584528792,346.302690630767,870.362098620222,3356.56966944171,763,-0.157823554967121
1884,"VTA","TERRENO",-34.6338043,-58.4159317,150,260000,"BOEDO",5,12.4684369099977,5.01063529409626,-0.290552562028485,889.641415631483,1629.87833858335,4604.24370974353,367,-0.207108253465873
1885,"VTA","TERRENO",-34.626756,-58.41585,206,700000,"BOEDO",5,13.4588356140255,5.32787616878958,0.513591172070728,156.90558654739,2108.21711507135,4063.64531320316,522,0.458991258829551
1886,"VTA","TERRENO",-34.61121,-58.415849,273,1120000,"ALMAGRO",5,13.9288392432713,5.60947179518496,0.396811523547292,77.1917154084559,700.505560361398,3256.37262890804,846,0.269645518686667
1887,"VTA","TERRENO",-34.6151828,-58.4157413,5747,1300000,"ALMAGRO",5,14.0778748224318,8.65643325850774,-1.24305136844159,490.882449697667,960.585294355356,3389.11719122974,679,-1.20347181376448
1888,"VTA","TERRENO",-34.6150463,-58.4157098,1382,1280000,"ALMAGRO",5,14.0623706358958,7.23128700432762,-0.421839375283294,475.523712014316,947.296470655323,3380.70037843842,694,-0.401287040296416
1889,"VTA","TERRENO",-34.6465107,-58.4156264,98,85000,"NUEVA POMPEYA",4,11.3504065354725,4.58496747867057,-0.611155813850515,653.020840037877,434.97410570181,5698.68015332341,426,-0.739415160179472
1890,"VTA","TERRENO",-34.604016,-58.415497,215,1100000,"ALMAGRO",5,13.9108207377686,5.37063802812766,0.519014470101222,342.613039507252,796.227100433355,3111.42375299157,1671,0.210690160250765
1891,"VTA","TERRENO",-34.615448,-58.415426,4520,3000000,"ALMAGRO",5,14.9141228466324,8.41626727282628,-0.265799734651789,518.118986333721,964.678989525069,3373.80965386176,632,-0.210475591700872
1892,"VTA","TERRENO",-34.6279534,-58.4152127,672,590000,"BOEDO",5,13.2878778158819,6.51025834052315,-0.351553830207034,288.515502486678,2219.09766135942,4105.00443425724,508,-0.359848991362394
1893,"VTA","TERRENO",-34.642198,-58.41516,234,350000,"NUEVA POMPEYA",4,12.7656884334656,5.4553211153577,0.293133638464963,274.493391791506,790.060879872705,5279.90956158374,399,0.13416965230008
1894,"VTA","TERRENO",-34.6287276,-58.4151448,806,390000,"BOEDO",5,12.8739020181058,6.69208374250663,-0.872280956327657,374.59687349497,2195.51788833778,4157.55359891906,471,-0.854895314036424
1895,"VTA","TERRENO",-34.606923,-58.41509,211,750000,"ALMAGRO",5,13.5278284855125,5.35185813347607,0.147048062850044,428.147752295354,602.020116857784,3096.46534069254,1364,-0.0795593693621187
1896,"VTA","TERRENO",-34.6227704,-58.4149924,309,750000,"BOEDO",5,13.5278284855125,5.73334127689775,0.344531832943859,292.184818875115,1664.14331215226,3734.0493425461,558,0.256751923305892
1897,"VTA","TERRENO",-34.6372588,-58.4149895,577,387000,"BOEDO",5,12.8661799720119,6.3578422665081,-0.68376682660974,504.895710436587,1287.54379999868,4835.50732865425,425,-0.695249088284551
1898,"VTA","TERRENO",-34.6455462,-58.4149333,375,280000,"NUEVA POMPEYA",4,12.5425448821514,5.92692602597041,-0.20689339619386,528.888007129547,541.497854065987,5574.36139338935,423,-0.33932031286842
1899,"VTA","TERRENO",-34.6142604,-58.4149126,780,270000,"ALMAGRO",5,12.5061772379805,6.65929391968364,-1.64221049026372,386.717477094141,833.558272872164,3280.51152233665,739,-1.66662586749465
1900,"VTA","TERRENO",-34.621748,-58.4148794,2794,600000,"BOEDO",5,13.3046849341983,7.93522953981691,-1.17136011528717,405.818086013391,1554.14640663938,3661.78587919002,546,-1.23171597555549
1901,"VTA","TERRENO",-34.6027443,-58.4148674,289,690000,"ALMAGRO",5,13.4444468765734,5.66642668811243,-0.121019572884696,321.008067298604,855.57994833323,3054.50232925806,1756,-0.450693809833613
1902,"VTA","TERRENO",-34.5940616,-58.4148349,308,930000,"PALERMO",14,13.7429398651294,5.73009978297357,-0.190686240280498,723.194769332453,1708.36321861843,3226.39872407938,854,-0.216213676378424
1903,"VTA","TERRENO",-34.6282328,-58.4146789,811,590000,"BOEDO",5,13.2878778158819,6.69826805411541,-0.461936023501876,327.511864361275,2236.85554222459,4089.04579098351,525,-0.465778043429684
