InputID,TargetID,Distance
"683",Obelisco,11185.4868878184
"684",Obelisco,11215.3147719467
"685",Obelisco,10413.7968828939
"686",Obelisco,10267.6167103903
"687",Obelisco,9561.77964112608
"688",Obelisco,8732.9638060105
"689",Obelisco,11147.2548566852
"690",Obelisco,9100.07113121599
"691",Obelisco,8683.7237685105
"692",Obelisco,9514.78644208121
"693",Obelisco,9512.67630545808
"694",Obelisco,8673.10650783666
"695",Obelisco,9506.34456256469
"696",Obelisco,9300.28834690711
"697",Obelisco,9300.27162540894
"698",Obelisco,8953.36680409241
"699",Obelisco,8750.80748516286
"700",Obelisco,10488.4289386132
"701",Obelisco,8839.95671657535
"702",Obelisco,8802.81830189654
"703",Obelisco,9646.61531509264
"704",Obelisco,9507.62493124735
"705",Obelisco,9694.74421594477
"706",Obelisco,9973.25540238351
"707",Obelisco,8796.63897315122
"708",Obelisco,9291.78197201389
"709",Obelisco,9173.83808513989
"710",Obelisco,9103.71930918049
"711",Obelisco,10697.6721807284
"712",Obelisco,9324.9535637073
"713",Obelisco,10175.4749644286
"714",Obelisco,9348.98062738999
"715",Obelisco,9931.61315592208
"716",Obelisco,8593.5817397897
"717",Obelisco,9797.38452965056
"718",Obelisco,10159.4342012457
"719",Obelisco,10156.7332783555
"720",Obelisco,10964.8546254288
"721",Obelisco,8587.34741330634
"722",Obelisco,9319.27571215876
"723",Obelisco,9638.74364342777
"724",Obelisco,9066.45274259513
"725",Obelisco,8730.56158715278
"726",Obelisco,9532.16835995108
"727",Obelisco,8802.55995034665
"728",Obelisco,9045.8830809789
"729",Obelisco,9976.03928531612
"730",Obelisco,9236.27181139481
"731",Obelisco,8544.58987357437
"732",Obelisco,9082.24305250751
"733",Obelisco,9076.48162607291
"734",Obelisco,9595.8893541216
"735",Obelisco,9197.56434718559
"736",Obelisco,8861.74817509691
"737",Obelisco,10735.4351711207
"738",Obelisco,8659.9825464263
"739",Obelisco,8620.69466412787
"740",Obelisco,9316.43579327041
"741",Obelisco,8645.41590820283
"742",Obelisco,8744.07628822845
"743",Obelisco,9288.82077464466
"744",Obelisco,8921.26944183321
"745",Obelisco,8682.75108263178
"746",Obelisco,8636.88964826565
"747",Obelisco,8762.23687351923
"748",Obelisco,10108.6089089357
"749",Obelisco,10119.2479459225
"750",Obelisco,8730.21317484243
"751",Obelisco,11406.6623521419
"752",Obelisco,8578.08451046673
"753",Obelisco,9481.50795072704
"754",Obelisco,8555.83025276582
"755",Obelisco,8598.8703188885
"756",Obelisco,8436.87104338951
"757",Obelisco,9781.87563600283
"758",Obelisco,9798.94328214021
"759",Obelisco,9089.20395379723
"760",Obelisco,8638.96301898629
"761",Obelisco,8728.78584950524
"762",Obelisco,9221.8395522837
"763",Obelisco,10416.0490144316
"764",Obelisco,10411.0470713901
"765",Obelisco,8482.57282989608
"766",Obelisco,9231.11907807048
"767",Obelisco,9058.87076179979
"768",Obelisco,12115.2025426821
"769",Obelisco,8380.67022522218
"770",Obelisco,10423.90622766
"771",Obelisco,9054.55380665954
"772",Obelisco,9970.83190507215
"773",Obelisco,8829.02391035949
"774",Obelisco,10154.206638737
"775",Obelisco,10163.2662846077
"776",Obelisco,10397.1729914777
"777",Obelisco,9447.76537703461
"778",Obelisco,10397.2073145758
"779",Obelisco,8474.23082466745
"780",Obelisco,8803.73783069758
"781",Obelisco,10862.1222813522
"782",Obelisco,9452.35943769792
"783",Obelisco,9017.93456527073
"784",Obelisco,9091.85224823961
"785",Obelisco,8955.31574705118
"786",Obelisco,8998.45583523852
"787",Obelisco,8323.16795086591
"788",Obelisco,9647.34565145366
"789",Obelisco,9013.05284626057
"790",Obelisco,10293.5178133445
"791",Obelisco,8641.13898346132
"792",Obelisco,8668.02309469223
"793",Obelisco,9192.46927874227
"794",Obelisco,8553.76374779813
"795",Obelisco,8557.15277315952
"796",Obelisco,8618.49063061363
"797",Obelisco,8984.85923182885
"798",Obelisco,11705.4105089911
"799",Obelisco,10767.3932706941
"800",Obelisco,8534.6008375071
"801",Obelisco,9419.40389816285
"802",Obelisco,8944.40674702386
"803",Obelisco,8798.39147854054
"804",Obelisco,10208.9575630866
"805",Obelisco,10345.1586227667
"806",Obelisco,8779.02279562037
"807",Obelisco,8611.91997033999
"808",Obelisco,8286.26612207853
"809",Obelisco,9556.00945798683
"810",Obelisco,8297.52930746939
"811",Obelisco,10363.634797314
"812",Obelisco,12311.6518248557
"813",Obelisco,9532.2422158908
"814",Obelisco,9471.46946177359
"815",Obelisco,9484.96172980589
"816",Obelisco,9399.00751395137
"817",Obelisco,8213.28905597167
"818",Obelisco,8451.28173526674
"819",Obelisco,8602.31586973436
"820",Obelisco,8745.4995961393
"821",Obelisco,9996.84110030968
